tunniste ,"Elamassani on ihmisia, jotka osoittavat valittavansa minusta.",Selvian arkielaman haasteista.,Taman hetkisessa arjessani koen turvattomuutta.,Soimaan itseani mokista tarpeettomasti.,"Olen ryhmassa mieluiten hiljaa, silla pelkaan sanovani jotain typeraa, enka kaipaa muiden huomiota.","Pelkaan, etta en ole riittavan hyva.",Koti on turvallisen tuntuinen paikka minulle.,Uudet asiat ovat mahdollisuuksia ei uhkia.,Luotan tulevaan.,"Minun on aina suoriuduttava hyvin elamassani, etta parjaan.","Uskon, etta selvian taman paivan tehtavistani hyvin.","Haluan palautetta melko usein, silla muuten en tieda, ollaanko työhöni tyytyvaisia.","Uskon, etta koronavirustilanne saadaan ratkaisua.",Voin vaikuttaa oman elamani laatuun.,"Elamassani on ihmisia, jotka osoittavat valittavansa minusta.",Pystyn kertomaan osaamisestani ja hyvista puolistani erilaisissa tilanteissa.,Koen olevani arvokas ja arvostettu.,Uskon omiin kykyihini ja mahdollisuuksiini.,"Pelkaan, etta jotain pahaa tapahtuu.",Pystyn loytamaan itsestani hyvia puolia.,Voin vaikuttaa itseani koskeviin paatoksiin.,Koen etta selvisin eilisen paivan tehtavistani hyvin.,Terveyteni on hyva ja tunnen itseni virkeaksi.,Paasen helposti irti epaonnistumisista.
1500,4,3,2,4,4,4,4,2,2,3,3,3,2,3,4,1,2,1,3,2,3,2,3,1
7469,3,4,3,4,,,,,,,,,,,,,,,,,,,,
7968,5,4,1,3,3,2,5,5,4,2,5,3,5,4,5,4,5,5,1,4,4,4,,
9253,5,4,4,4,1,5,5,5,4,5,4,5,5,4,5,3,4,4,4,4,4,5,4,2
21084,5,3,2,2,2,3,,,3,3,4,3,5,5,5,4,2,4,2,4,4,4,4,4
34725,5,4,3,4,3,3,4,4,4,3,4,4,4,5,5,5,3,4,,,4,5,4,3
123098,5,4,2,4,1,2,5,4,4,4,4,3,5,5,5,4,4,5,2,5,5,4,4,3
145789,4,3,2,4,2,4,4,3,3,1,4,2,,,5,3,4,3,4,4,4,2,4,3
222426,5,5,4,4,2,5,5,4,2,4,5,4,,,,,2,3,3,2,3,5,4,2
290520,4,4,3,2,2,2,,,4,3,3,3,4,5,,,4,5,,,,,4,4
369369,4,3,2,4,3,3,,,3,4,4,4,4,4,4,3,3,3,,,,,3,2
202010,5,4,2,4,3,4,5,3,3,4,4,3,,,5,2,,,4,4,,,3,2
29,3,4,2,3,2,3,4,4,4,3,5,3,3,4,3,3,3,4,3,4,5,5,3,4
682,5,5,3,4,,,,,,,,,,,,,,,,,,,,
907,2,2,4,4,1,5,,,3,4,2,5,,,,,,,,,,,,
704,,,,,,,,,4,4,4,2,,,5,3,3,2,4,3,2,4,4,4
